Designator,Mid X,Mid Y,Layer,Rotation
BATTERY,-15.52,-12.34,Top,180.0
C1, 6.03,-4.80,Top,0.0
C2, 1.57,-1.27,Top,270.0
C3,-2.46, 8.26,Top,0.0
C4, 7.86, 4.78,Top,0.0
C5, 6.03,-2.62,Top,0.0
C6,-1.93,-8.44,Top,270.0
C7,-5.39,-0.71,Top,90.0
CHARGING,-21.5, 0.00,Top,180.0
CHRG,-10.92, 3.78,Top,0.0
D1,-12.25, 5.66,Top,180.0
D2,-8.74, 7.92,Top,90.0
ESP32,21.25, 0.00,Top,180.0
F1, 1.06, 3.73,Top,180.0
FLASH, 2.08, 8.26,Top,180.0
LDO, 7.16, 1.14,Top,270.0
Q1,-6.61,-7.24,Top,270.0
R1,-8.61,-7.24,Top,90.0
R2,-3.48,-7.24,Top,270.0
R3,-4.68,-7.24,Top,270.0
R10,-10.90, 2.29,Top,180.0
R11,-5.39, 2.46,Top,90.0
RESET, 2.08,-8.26,Top,180.0
U1,-8.74,-0.71,Top,180.0
